Country;Date;CO2 Total Mt;Co2 Kg/1000$;CO2 Tons per capita
Indonesia;2021;602.594;0.19;2.19
Indonesia;2020;591.319;0.19;2.17
Indonesia;2019;647.462;0.20;2.40
Indonesia;2018;602.788;0.20;2.26
Indonesia;2017;541.791;0.19;2.05
Indonesia;2016;506.015;0.18;1.94
Indonesia;2015;513.083;0.20;1.99
Indonesia;2014;506.507;0.20;1.99
Indonesia;2013;470.912;0.20;1.87
Indonesia;2012;505.355;0.22;2.03
Indonesia;2011;498.609;0.23;2.03
Indonesia;2010;436.928;0.22;1.80
Indonesia;2009;411.674;0.22;1.72
Indonesia;2008;396.260;0.22;1.68
Indonesia;2007;400.833;0.24;1.72
Indonesia;2006;384.403;0.24;1.67
Indonesia;2005;361.452;0.24;1.59
Indonesia;2004;360.360;0.25;1.61
Indonesia;2003;354.120;0.26;1.61
Indonesia;2002;324.598;0.25;1.49
Indonesia;2001;317.789;0.25;1.48
Indonesia;2000;297.045;0.25;1.40
Indonesia;1999;293.250;0.26;1.41
Indonesia;1998;277.096;0.24;1.35
Indonesia;1997;274.887;0.21;1.36
Indonesia;1996;250.709;0.20;1.25
Indonesia;1995;236.321;0.20;1.20
Indonesia;1994;212.000;0.20;1.09
Indonesia;1993;199.666;0.20;1.05
Indonesia;1992;182.318;0.19;0.97
Indonesia;1991;174.429;0.20;0.94
Indonesia;1990;161.640;0.20;0.89
Indonesia;1989;134.520;;0.75
Indonesia;1988;128.834;;0.74
Indonesia;1987;120.438;;0.70
Indonesia;1986;117.368;;0.70
Indonesia;1985;106.348;;0.64
Indonesia;1984;97.531;;0.60
Indonesia;1983;95.418;;0.60
Indonesia;1982;96.433;;0.62
Indonesia;1981;95.679;;0.63
Indonesia;1980;90.638;;0.61
Indonesia;1979;90.970;;0.63
Indonesia;1978;84.551;;0.60
Indonesia;1977;71.952;;0.52
Indonesia;1976;52.750;;0.39
Indonesia;1975;49.031;;0.38
Indonesia;1974;47.198;;0.37
Indonesia;1973;42.250;;0.34
Indonesia;1972;37.413;;0.31
Indonesia;1971;31.587;;0.27
Indonesia;1970;31.165;;0.27
